150 5587
91 80 91
125 69 10
126 60 16
19 55 40
41 114 56
75 113 68
82 85 40
65 34 34
66 7 26
123 134 28
23 51 44
94 16 20
126 4 99
68 36 8
93 35 21
101 146 24
116 43 4
36 97 72
108 17 73
93 103 44
54 123 32
80 65 7
72 23 83
39 23 80
69 48 70
122 14 69
141 58 77
69 102 60
118 130 40
56 45 28
118 105 65
72 124 59
27 61 65
50 41 9
99 37 49
3 100 71
101 17 29
38 69 72
99 131 52
129 20 64
48 40 29
71 113 59
89 78 77
36 118 28
7 24 90
10 15 89
135 131 73
82 103 23
98 42 29
23 134 36
96 112 84
120 90 35
78 93 10
100 139 92
135 138 2
56 36 31
40 30 59
133 85 31
111 96 77
66 43 42
80 97 73
17 35 14
145 5 96
101 46 84
108 11 99
67 124 83
19 104 47
47 43 84
62 46 52
90 63 56
8 64 36
40 23 39
28 16 25
5 81 93
78 119 75
23 16 61
61 90 30
113 57 4
7 55 76
81 29 35
10 32 19
83 134 86
89 2 14
68 14 14
100 95 30
109 55 84
136 115 34
70 45 97
26 44 40
117 39 28
89 53 96
1 60 55
143 136 21
64 125 60
87 128 60
70 36 28
85 5 56
132 127 2
6 49 80
122 18 80
131 80 92
71 81 67
72 90 33
54 35 99
10 104 57
7 72 81
39 125 40
114 105 17
62 29 51
140 121 17
52 27 46
68 122 25
119 9 59
38 28 20
58 11 65
73 146 85
132 134 66
89 110 42
121 18 34
95 97 79
141 26 84
11 37 56
24 137 42
0 56 67
17 8 38
3 28 25
35 93 19
106 93 81
76 109 52
0 47 28
11 132 13
8 131 30
113 24 85
128 101 81
68 18 64
84 147 35
70 6 72
107 4 31
121 116 81
147 94 2
75 132 71
79 2 2
88 3 36
50 143 10
56 72 61
1 123 82
124 10 59
8 11 65
78 31 48
19 91 19
56 116 90
75 50 43
139 59 54
99 84 2
75 1 59
60 120 36
143 58 25
108 32 36
84 25 70
58 66 36
123 138 27
106 40 97
136 18 2
61 148 76
127 7 81
73 80 77
133 26 66
54 108 56
23 96 84
67 114 26
59 23 16
140 28 96
142 86 88
33 39 27
90 9 63
52 120 98
34 120 21
66 131 45
21 32 48
33 43 51
83 115 38
79 70 95
105 76 17
3 123 58
30 102 35
69 138 46
113 27 45
144 99 50
79 43 25
54 10 38
39 30 41
96 28 33
52 143 58
114 62 75
114 35 66
42 140 74
88 114 49
98 53 36
30 126 12
18 93 41
24 100 14
132 31 87
101 79 3
64 104 50
13 140 99
58 18 6
55 82 65
76 129 39
116 42 94
45 10 27
68 121 67
40 58 12
108 4 90
52 7 74
113 121 23
57 110 3
149 49 82
15 4 74
103 124 44
108 85 76
131 38 58
1 116 70
50 66 81
2 108 22
74 129 15
9 105 16
57 6 22
105 116 8
5 101 64
88 109 87
1 78 26
79 10 50
68 94 48
4 107 99
36 101 75
60 61 28
31 106 24
21 2 99
36 98 85
21 137 32
145 96 80
8 4 7
44 15 60
103 135 22
10 123 88
23 52 18
23 63 99
108 71 97
29 127 70
71 142 18
87 26 25
103 110 31
125 135 44
1 133 53
12 82 24
78 7 82
103 31 62
0 48 3
23 4 73
107 116 85
122 115 41
61 116 30
7 101 20
49 29 57
41 5 12
57 38 27
9 43 10
48 5 57
70 83 4
100 76 86
42 91 75
105 20 40
2 121 88
109 87 67
128 108 35
124 9 86
109 129 74
9 68 63
92 93 62
120 131 93
68 23 17
20 90 48
101 42 43
55 107 32
11 75 92
130 118 94
63 142 97
41 72 49
116 66 18
12 120 14
95 136 75
31 0 32
18 82 86
63 114 21
61 77 5
61 129 42
