10 90
6 3 41
7 4 35
6 2 84
2 0 60
7 6 70
1 2 46
0 7 8
5 1 54
9 7 71
2 5 47
9 2 48
3 8 87
8 2 9
3 4 6
1 9 64
9 4 32
3 7 4
6 5 64
1 8 74
9 5 58
1 6 99
4 9 24
1 0 18
0 3 24
0 9 83
5 4 94
7 5 80
3 1 24
9 3 12
7 8 91
1 4 57
2 6 67
0 8 98
4 7 32
7 3 11
8 9 61
8 5 97
5 9 56
8 3 26
4 8 66
3 6 9
0 5 12
5 7 38
7 9 50
8 6 68
5 2 18
6 1 92
3 0 90
3 9 97
4 1 78
4 5 52
2 9 36
1 7 48
6 9 71
0 2 26
4 3 32
9 8 36
2 7 85
7 2 96
5 0 73
5 8 59
2 4 29
8 1 51
8 7 98
1 3 20
4 2 67
9 0 88
7 1 41
1 5 62
9 6 91
9 1 43
8 4 36
6 8 49
2 8 76
4 6 86
5 6 82
6 4 79
6 7 3
0 1 88
3 2 38
8 0 9
7 0 17
3 5 55
0 4 48
4 0 50
0 6 6
5 3 48
6 0 19
2 1 88
2 3 78
